report_dt,segment,replenishable_flg,subtraction_flg,target_maturity_days,open_month,close_month,balance,renewal_cnt,operations_in_month,early_withdrawal_in_month,report_month,ew_share
2023-08-31,mass,0,0,1095,2023-06,2026-06,907686661.14,0.0,0.0,-184719572.45,2023-08,0.20350587968099398
2023-08-31,mass,0,0,365,2022-08,2023-09,903017240.39,0.0,0.0,-5733580.71,2023-08,0.006349359074832004
2023-08-31,mass,0,0,365,2022-12,2024-01,890819238.1,0.0,0.0,-6913572.05,2023-08,0.007760914621405952
2023-08-31,mass,0,0,180,2023-04,2023-10,885232178.31,0.0,0.0,-3576165.59,2023-08,0.004039805237115613
2023-08-31,mass,0,0,548,2023-05,2024-11,871882262.54,0.0,0.0,-4036021.66,2023-08,0.004629090226290544
2023-08-31,mass,0,0,1095,2023-01,2026-01,859659025.65,0.0,0.0,-10981000.0,2023-08,0.01277366917854101
2023-08-31,mass,0,0,365,2023-08,2024-08,852809668.14,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,180,2023-08,2024-01,844444079.15,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2022-12,2023-12,844071029.71,0.0,0.0,-6478423.41,2023-08,0.007675211187174391
2023-08-31,mass,0,0,365,2023-02,2024-02,843905696.68,0.0,0.0,-2066872.12,2023-08,0.0024491742716410835
2023-08-31,mass,0,0,180,2023-08,2024-01,843690696.54,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,548,2023-06,2024-12,835164715.15,0.0,0.0,-750407002.96,2023-08,0.8985137773992559
2023-08-31,mass,0,0,365,2023-02,2024-02,834274714.04,0.0,0.0,23371020.27,2023-08,0.028013578593105312
2023-08-31,mass,0,0,365,2023-05,2024-05,832892593.78,0.0,0.0,-45973265.66,2023-08,0.055197111852507794
2023-08-31,mass,0,0,180,2023-06,2023-12,827661988.06,0.0,0.0,-1065378287.52,2023-08,1.287214228621512
2023-08-31,mass,0,0,365,2022-09,2023-10,818686595.14,0.0,0.0,-4762579.6,2023-08,0.005817341615548954
2023-08-31,mass,0,0,365,2022-09,2023-09,814602640.98,0.0,0.0,-2625620.84,2023-08,0.00322319215273016
2023-08-31,mass,0,0,1095,2022-12,2025-12,798928778.65,0.0,0.0,-11890330.31,2023-08,0.014882841409332928
2023-08-31,mass,0,0,365,2022-12,2023-12,796092371.03,0.0,0.0,-4934488.31,2023-08,0.006198386631460444
2023-08-31,mass,0,0,90,2023-06,2023-09,794397989.62,0.0,0.0,-16501815.45,2023-08,0.020772730628250503
2023-08-31,mass,0,0,180,2023-08,2024-01,793475325.24,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,90,2023-08,2023-11,787865565.29,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2023-05,2024-05,787266782.27,0.0,0.0,-13652810.69,2023-08,0.017342038299435893
2023-08-31,mass,0,0,180,2023-08,2024-02,785000000.0,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,90,2023-08,2023-11,760595093.02,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,90,2023-06,2023-09,755739038.18,0.0,0.0,-25713357.99,2023-08,0.03402412299875881
2023-08-31,mass,0,0,365,2023-02,2024-02,752595552.24,0.0,0.0,-5450000.0,2023-08,0.0072416053799132934
2023-08-31,mass,0,0,180,2023-06,2023-12,750313057.2,0.0,0.0,-35223270.89,2023-08,0.046944765990672405
2023-08-31,mass,0,0,180,2023-07,2024-01,728451827.47,0.0,0.0,-2040841778.28,2023-08,2.801615290565042
2023-08-31,mass,0,0,365,2022-10,2023-10,715470430.28,0.0,0.0,-3204376.06,2023-08,0.004478698104610647
2023-08-31,mass,0,0,180,2023-05,2023-10,709539230.03,0.0,0.0,-18886455.08,2023-08,0.02661791523380809
2023-08-31,mass,0,0,365,2023-01,2024-01,705475805.54,0.0,0.0,-3315060.48,2023-08,0.004699042056392731
2023-08-31,mass,0,0,365,2023-05,2024-05,701141662.05,0.0,0.0,-19653125.05,2023-08,0.02803017722914673
2023-08-31,mass,0,0,365,2023-05,2024-05,700491634.84,0.0,0.0,-1723927264.94,2023-08,2.4610247706009565
2023-08-31,mass,0,0,365,2022-09,2023-10,699067263.24,0.0,0.0,-3329330.21,2023-08,0.004762531998093283
2023-08-31,mass,0,0,90,2023-07,2023-10,698277342.41,0.0,0.0,-156170652.38,2023-08,0.22365132433053078
2023-08-31,mass,0,0,1095,2022-11,2025-11,691493500.32,0.0,0.0,-9277092.43,2023-08,0.013416022602825437
2023-08-31,mass,0,0,1095,2023-05,2026-05,688857742.91,0.0,0.0,-96534145.03,2023-08,0.14013654636761816
2023-08-31,mass,0,0,365,2022-10,2023-11,688760014.32,0.0,0.0,-4530087.2,2023-08,0.0065771634616049405
2023-08-31,mass,0,0,365,2023-01,2024-01,683913795.67,0.0,0.0,-6224897.94,2023-08,0.009101875089245341
2023-08-31,mass,0,0,1095,2023-08,2026-08,674012705.68,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2023-06,2024-06,666293459.13,0.0,0.0,-30260469.82,2023-08,0.04541612919255133
2023-08-31,mass,0,0,365,2022-09,2023-10,664795516.51,0.0,0.0,-4100308.67,2023-08,0.006167774252638664
2023-08-31,mass,0,0,180,2023-06,2023-12,661991115.57,0.0,0.0,-22768072.91,2023-08,0.03439332095929385
2023-08-31,mass,0,0,365,2023-06,2024-06,657689501.81,0.0,0.0,-38609773.21,2023-08,0.05870516878214362
