,report_dt,segment,replenishable_flg,subtraction_flg,month_maturity,target_maturity_days,balance_start,balance_gain,balance,newbusiness,contract_close,early_withdrawal,operations,interests,renewal,universal_weight_id
92,2023-09-30,priv,1,0,36,1095,15709498.27,134116823.458162,149826321.728162,133621461.92691074,0.0,0.0,438572.65733327006,56788.873917988356,0.0,7
93,2023-09-30,priv,1,1,3,90,2669096654.53,19595185154.118244,22264281808.648247,20223409180.342297,-628323372.3935387,0.0,0.0,99346.16948832874,640829917.9364612,2
94,2023-09-30,priv,1,1,6,180,45507668522.36,-7890900391.240195,37616768131.119804,7490582408.555836,-14897041578.418587,0.0,-499843306.21723866,15402084.83979421,23437697363.461414,3
95,2023-09-30,priv,1,1,12,365,6404359370.62,4976808963.487668,11381168334.107668,6702718381.484139,-11291759.26021592,0.0,-1739507609.3133225,24889950.57706755,5874091.289784082,5
96,2023-09-30,priv,1,1,18,548,75470950.85,6681070143.356741,6756541094.20674,6688363299.150145,-8318.225348975899,0.0,-7445292.352992348,160454.7849375567,21937.8446510241,6
97,2023-09-30,priv,1,1,24,730,19183993412.69,-2942821701.8622193,16241171710.82778,3810983627.226494,-274006306.2921387,0.0,-6542584695.451835,62785672.65526011,91319340.68786135,6
98,2023-09-30,priv,1,1,36,1095,331639005.57000005,826848527.3960251,1158487532.966025,902155946.3304473,-1189.5800000000002,0.0,-76862394.54347453,1556165.1890523809,0.0,7
99,2023-09-30,vip,0,0,3,90,47991199.39,23426220119.77781,23474211319.16781,23435731842.668175,-9512043.55,0.0,0.0,320.6596320000972,0.0,2
100,2023-09-30,vip,0,0,6,180,55032984639.689995,6350975758.5203705,61383960398.210365,22631567033.523655,-10093498643.00367,-6426359517.499479,0.0,239266885.4998647,3556076.586329446,3
101,2023-09-30,vip,0,0,12,365,70388313812.84,16642560059.90132,87030873872.74132,31617638683.224903,-7778420819.728245,-7554424195.2515545,0.0,357766391.65621644,2127460.6617547157,5
102,2023-09-30,vip,0,0,18,548,231717687.63,17175168384.842073,17406886072.472073,17243715900.53998,-56765514.64868962,-12658782.333818184,0.0,876781.2846002368,2480233.7013103813,6
103,2023-09-30,vip,0,0,24,730,2475469762.8199997,2962010990.507949,5437480753.327949,3456113801.0004096,-539537.2,-506870341.3794224,0.0,13307068.086961923,0.0,6
104,2023-09-30,vip,0,0,36,1095,31119486823.649998,-6235361585.850479,24884125237.79952,4194764546.9821115,0.0,-10573767479.359043,0.0,143641346.52645266,0.0,7
105,2023-09-30,vip,1,0,18,548,26091853.99,81537.04371875152,26173391.03371875,0.0,0.0,0.0,0.0,81537.04371875152,0.0,6
106,2023-09-30,vip,1,0,24,730,7912936.78,24322.14367333299,7937258.923673333,0.0,0.0,0.0,0.0,24322.14367333299,0.0,6
107,2023-09-30,vip,1,0,36,1095,70580010.96000001,-27098206.594343502,43481804.365656495,0.0,0.0,0.0,-27257069.123358827,158862.52901532463,0.0,7
108,2023-09-30,vip,1,1,3,90,605609936208.6901,-10144672804.548635,595465263404.1414,13968961268.8524,-8258862328.76702,0.0,-20612999604.77527,4758227860.1412525,4326677494.952981,2
109,2023-09-30,vip,1,1,6,180,95236317170.63,45444687574.25423,140681004744.88422,61787383287.87215,-11813115771.396114,0.0,-4997582477.127338,468002534.90553117,12127104784.253887,3
110,2023-09-30,vip,1,1,12,365,172870117398.44,117889282110.88226,290759399509.32227,116451750242.97604,-344053764.30634946,0.0,442395234.38642406,1339190397.8261464,20549506.173650548,5
111,2023-09-30,vip,1,1,18,548,24918404368.55,24037686167.697838,48956090536.24784,25521195873.718792,-62481079.19754623,0.0,-1574672585.8324451,153643959.0090404,7323541.872453778,6
112,2023-09-30,vip,1,1,24,730,26896225039.71,26252963807.441177,53149188847.15118,27978535468.52949,-153929420.0746561,0.0,-1731354949.2883294,159712708.27467385,25339815.9053439,6
113,2023-09-30,vip,1,1,36,1095,270798848435.1,35710140797.128006,306508989232.228,14388037809.454508,0.0,0.0,18786062931.7985,2536040055.875002,0.0,7
114,2023-10-31,mass,0,0,3,90,264252890009.82565,40699623262.032745,304952513271.8584,55778813888.005325,-15262424825.571983,-1760803542.0118241,0.0,1944037741.6112275,12730004783.892864,2
115,2023-10-31,mass,0,0,6,180,344417333626.2895,-18389569206.113876,326027764420.1756,40879716214.86357,-57565989401.1039,-3644373974.2119904,0.0,1941077954.3384402,58025665.274288684,3
116,2023-10-31,mass,0,0,12,365,253685957599.11957,-17076552021.70146,236609405577.41812,28336839607.424446,-44365938756.507484,-2455465907.3060484,0.0,1408013034.687627,20682984.489113178,5
117,2023-10-31,mass,0,0,18,548,21118129722.934086,7368065864.129816,28486195587.0639,7572589238.251863,-103081508.57533279,-256948269.76831573,0.0,155506404.22160146,3039251.462556788,6
118,2023-10-31,mass,0,0,24,730,2725440646.7759857,371680336.2387744,3097120983.01476,377444532.24372435,-9435528.056198724,-14851477.576551251,0.0,18522809.62780002,2327515.6974479337,6
119,2023-10-31,mass,0,0,36,1095,52390154026.71904,121632795.15912938,52511786821.87817,577995391.5551724,-1667160.4816434274,-835755585.2311602,0.0,381060149.31676054,202922.0762415726,7
120,2023-10-31,mass,0,1,12,365,8304801.454832906,-2022683.844549302,6282117.610283604,0.0,-2034496.4507929168,0.0,0.0,11812.606243614822,0.0,5
121,2023-10-31,mass,0,1,18,548,1297118.6429678332,-118615.96702342507,1178502.6759444082,0.0,-120773.55054375001,0.0,0.0,2157.5835203249476,0.0,6
122,2023-10-31,mass,0,1,24,730,4132268.4383508395,10309.812435256354,4142578.250786096,0.0,0.0,0.0,0.0,10309.812435256354,0.0,6
123,2023-10-31,mass,0,1,36,1095,10801523.023334082,25479.04889790293,10827002.072231986,0.0,-1793.907663783594,0.0,0.0,27272.956561686522,1771.2107062164052,7
124,2023-10-31,mass,1,0,18,548,10599217.836696927,-1219461.13714567,9379756.699551256,0.0,-1242016.797682335,0.0,0.0,22555.660536665047,50011.60367224864,6
125,2023-10-31,mass,1,0,24,730,21898513.99295103,57118.77702065928,21955632.76997169,0.0,0.0,0.0,0.0,57118.77702065928,0.0,6
126,2023-10-31,mass,1,0,36,1095,20191322.548919972,-554909.3694003462,19636413.179519627,0.0,-43873.43893333333,0.0,-572508.0244908893,61472.09402387646,0.0,7
127,2023-10-31,mass,1,1,3,90,503188399.8014805,-112486867.48331836,390701532.3181621,83348647.45643125,-195240027.04948276,0.0,-1623883.0884703519,1028395.1982035079,116126416.3492564,2
128,2023-10-31,mass,1,1,6,180,5469490147.571081,-710408666.872616,4759081480.698465,18117546.272485524,-753304617.0813948,0.0,-912703.5830955582,25691107.519388836,619910785.4654249,3
129,2023-10-31,mass,1,1,12,365,2768364026.138514,-117416724.78476955,2650947301.3537445,13142782.250259828,-13527589.217360007,0.0,-131312713.98250449,14280796.16483511,7923679.481729088,5
